City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,Batsfjord,70.6345,29.7185,24.58,86,40,26.46,NO,2022-01-30 16:01:10
433,Portland,45.5234,-122.6762,40.6,83,100,1.01,US,2022-01-30 16:00:29
434,Kolokani,13.5728,-8.0339,95.29,6,20,14.38,ML,2022-01-30 16:01:11
435,Ulaanbaatar,47.9077,106.8832,-13.36,99,74,3.0,MN,2022-01-30 16:00:13
436,Brookhaven,31.5791,-90.4407,54.55,58,0,10.94,US,2022-01-30 16:01:11
437,General Roca,-39.0333,-67.5833,77.92,24,79,28.81,AR,2022-01-30 16:01:11
438,Vyazemskiy,47.5378,134.7525,-21.19,96,15,2.39,RU,2022-01-30 16:01:12
439,Saint Augustine,29.8947,-81.3145,50.23,27,0,3.51,US,2022-01-30 15:57:38
440,Songjianghe,42.1859,127.479,-1.75,99,12,3.67,CN,2022-01-30 16:01:12
441,Galveston,29.3669,-94.9669,60.06,70,0,3.0,US,2022-01-30 15:58:56
442,Mackay,-21.15,149.2,80.58,83,75,12.66,AU,2022-01-30 15:57:57
443,Salvador,13.8333,-88.9167,75.6,46,1,7.11,SV,2022-01-30 16:01:13
444,Barra,-11.0894,-43.1417,83.57,56,45,7.92,BR,2022-01-30 16:01:13
445,Tiznit,29.5833,-9.5,70.34,18,72,27.09,MA,2022-01-30 16:01:14
446,Makakilo City,21.3469,-158.0858,71.69,70,9,11.68,US,2022-01-30 15:58:45
447,Burnie,-41.0667,145.9167,64.92,91,45,4.36,AU,2022-01-30 16:01:14
448,Hauterive,46.0901,3.4459,47.16,80,53,3.09,FR,2022-01-30 16:01:14
449,Pochutla,15.7432,-96.4661,81.82,38,0,3.96,MX,2022-01-30 16:01:15
450,Utrecht,52.0,5.25,46.0,68,20,1.99,NL,2022-01-30 16:00:30
451,Palauig,15.435,119.9045,77.38,83,4,9.93,PH,2022-01-30 16:01:15
452,Aktash,50.3,87.7333,-13.25,78,90,4.27,RU,2022-01-30 16:05:18
453,Laguna,38.421,-121.4238,52.02,92,0,3.44,US,2022-01-30 16:04:48
454,Cacu,-18.5567,-51.1308,72.61,92,100,9.51,BR,2022-01-30 16:05:18
455,Yendi,9.4427,-0.0099,96.91,7,73,9.08,GH,2022-01-30 16:05:18
456,Khandyga,62.6667,135.6,-38.76,100,48,1.57,RU,2022-01-30 16:05:19
457,Kupang,-10.1667,123.5833,79.99,85,100,13.51,ID,2022-01-30 16:05:19
458,Brae,60.3964,-1.353,40.91,70,100,16.55,GB,2022-01-30 16:05:19
459,Itaqui,-29.1253,-56.5531,92.39,22,0,7.67,BR,2022-01-30 16:05:20
460,Banjarmasin,-3.3244,114.591,78.94,86,100,2.55,ID,2022-01-30 16:05:20
461,Sambava,-14.2667,50.1667,79.65,86,100,15.23,MG,2022-01-30 16:05:20
462,San Lorenzo,-25.3333,-57.5333,94.14,29,20,2.3,PY,2022-01-30 16:04:34
463,Bud,39.447,-86.1758,34.12,66,42,7.0,US,2022-01-30 16:05:21
464,Aranos,-24.1333,19.1167,74.98,66,92,10.4,NA,2022-01-30 16:05:21
465,Tinyahuarco,-10.75,-76.3,44.87,67,100,7.16,PE,2022-01-30 16:05:21
466,Malur,13.0075,77.9378,75.16,67,29,6.87,IN,2022-01-30 16:05:22
467,Nova Borova,50.693,28.6345,31.53,95,89,14.34,UA,2022-01-30 16:05:22
468,Penzance,50.1186,-5.5371,51.01,84,98,14.79,GB,2022-01-30 16:05:22
469,Keti Bandar,24.1447,67.4497,72.12,80,0,12.73,PK,2022-01-30 16:05:23
470,Manavalakurichi,8.1333,77.3,82.49,81,1,6.6,IN,2022-01-30 16:05:23
471,Chipinge,-20.1883,32.6236,68.36,80,97,5.68,ZW,2022-01-30 16:05:24
472,Viedma,-40.8135,-62.9967,69.1,33,47,27.98,AR,2022-01-30 16:05:24
473,Abalak,58.1286,68.5944,1.45,99,100,5.08,RU,2022-01-30 16:05:24
474,Mahanoro,-19.9,48.8,76.77,73,3,5.93,MG,2022-01-30 16:05:25
475,Santa Maria Do Para,-1.3503,-47.5756,80.19,80,94,6.46,BR,2022-01-30 16:05:25
476,Poum,-20.2333,164.0167,79.9,79,98,8.1,NC,2022-01-30 16:05:25
477,Kamina,-8.7386,24.9906,71.71,87,99,1.63,CD,2022-01-30 16:05:26
478,Oistins,13.0667,-59.5333,80.69,69,20,17.27,BB,2022-01-30 16:05:26
479,Agogo,6.8,-1.0819,94.93,9,96,7.36,GH,2022-01-30 16:05:26
480,General Pico,-35.6566,-63.7568,84.4,29,49,9.6,AR,2022-01-30 16:05:27
